Fighter1,F1_Height,F1_Weight,F1_Reach,F1_DOB,F1_profile_url,Fighter2,F2_Height,F2_Weight,F2_Reach,F2_DOB,F2_profile_url,F1_result,F2_result,F1_KD,F2_KD,F1_SS_hit,F1_SS_att,F2_SS_hit,F2_SS_att,F1_totalStrikes_hit,F1_totalStrikes_att,F2_totalStrikes_hit,F2_totalStrikes_att,F1_TD_conv,F1_TD_att,F2_TD_conv,F2_TD_att,F1_Sub,F2_Sub,F1_pass,F2_pass,F1_rev,F2_rev,F1_head_hit,F1_head_att,F2_head_hit,F2_head_att,F1_body_conv,F1_body_att,F2_body_conv,F2_body_att,F1_leg_conv,F1_leg_att,F2_leg_conv,F2_leg_att,F1_distance_conv,F1_distance_att,F2_distance_conv,F2_distance_att,F1_clinch_conv,F1_clinch_att,F2_clinch_conv,F2_clinch_att,F1_ground_conv,F1_ground_att,F2_ground_conv,F2_ground_att,Date,Location,Attendance
Vinicius Moreira,76,205,76,1989-02-28 00:00:00,http://www.ufcstats.com/fighter-details/acb36c908d415c4a,Paul Craig,75.0,205.0,76.0,1987-11-27 00:00:00,http://www.ufcstats.com/fighter-details/eabf206b162b3b83,L,W,0,1,1,3,18,27,1,3,33,43,0,0,1,1,0,1,0,1,0,0,0,2,16,25,0,0,2,2,1,1,0,0,1,3,1,3,0,0.0,6.0,6.0,0.0,0.0,11.0,18.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Sijara Eubanks,64,135,67,1985-04-27 00:00:00,http://www.ufcstats.com/fighter-details/4234f0097c83fa62,Bethe Correia,65.0,135.0,64.0,1983-06-22 00:00:00,http://www.ufcstats.com/fighter-details/673ea7dcc786b1b3,L,W,0,0,77,169,59,127,94,186,77,146,1,5,0,1,0,0,1,0,0,0,58,138,42,101,12,23,12,19,7,8,5,7,55,140,54,118,8,10.0,5.0,9.0,14.0,19.0,0.0,0.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Claudio Puelles,71,155,72,1996-04-21 00:00:00,http://www.ufcstats.com/fighter-details/d747eb273a40a920,Marcos Mariano,73.0,155.0,,1986-10-12 00:00:00,http://www.ufcstats.com/fighter-details/72e5e5a6edfa8223,W,L,0,0,22,34,2,9,101,116,5,12,4,6,0,0,2,0,7,0,0,0,21,32,0,6,1,2,2,3,0,0,0,0,1,5,2,8,0,0.0,0.0,0.0,21.0,29.0,0.0,1.0,2019-09-21,"Mexico City, Distrito Federal, Mexico",10112
Donald Cerrone,73,155,73,1983-03-29 00:00:00,http://www.ufcstats.com/fighter-details/1d00756835ca67c9,Justin Gaethje,71.0,155.0,70.0,1988-11-14 00:00:00,http://www.ufcstats.com/fighter-details/9e8f6c728eb01124,L,W,0,1,17,52,40,61,17,52,40,61,0,0,0,0,0,0,0,0,0,0,12,45,27,44,4,6,0,2,1,1,13,15,17,52,36,55,0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Glover Teixeira,74,205,76,1979-10-28 00:00:00,http://www.ufcstats.com/fighter-details/7ff97850e8c32bda,Nikita Krylov,75.0,205.0,77.0,1992-03-07 00:00:00,http://www.ufcstats.com/fighter-details/1091d4d957141094,W,L,0,0,43,71,47,95,85,119,74,123,1,6,2,4,2,1,4,5,2,1,39,67,20,66,4,4,17,19,0,0,10,10,22,45,37,85,10,10.0,3.0,3.0,11.0,16.0,7.0,7.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Todd Duffee,75,260,79,1985-12-06 00:00:00,http://www.ufcstats.com/fighter-details/bda04c573563cc2e,Jeff Hughes,74.0,250.0,78.0,1988-05-17 00:00:00,http://www.ufcstats.com/fighter-details/6a11e325aa60ad02,NC,NC,1,0,30,66,16,29,38,74,26,39,1,3,0,0,0,0,0,0,0,0,25,60,12,24,5,6,0,0,0,0,4,5,19,51,14,23,9,12.0,2.0,6.0,2.0,3.0,0.0,0.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Michel Pereira,73,170,73,1993-10-06 00:00:00,http://www.ufcstats.com/fighter-details/595db60957de51d3,Tristan Connelly,70.0,170.0,68.0,1985-12-12 00:00:00,http://www.ufcstats.com/fighter-details/2ebfbe72ed703925,L,W,0,0,32,75,64,125,56,107,151,222,2,5,0,6,0,1,0,3,0,0,13,44,51,106,17,29,7,13,2,2,6,6,23,66,23,71,9,9.0,14.0,20.0,0.0,0.0,27.0,34.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Uriah Hall,72,185,79,1984-07-31 00:00:00,http://www.ufcstats.com/fighter-details/65578a75fa7900e3,Antonio Carlos Junior,74.0,185.0,79.0,1990-03-16 00:00:00,http://www.ufcstats.com/fighter-details/52e76bb4b3e852f3,W,L,1,0,34,79,22,69,41,86,81,148,0,0,3,8,0,0,1,2,0,0,31,75,16,63,3,4,5,5,0,0,1,1,22,61,18,65,1,1.0,2.0,2.0,11.0,17.0,2.0,2.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Misha Cirkunov,75,205,77,1987-02-27 00:00:00,http://www.ufcstats.com/fighter-details/67f272324a030d00,Jimmy Crute,74.0,205.0,74.0,1996-03-04 00:00:00,http://www.ufcstats.com/fighter-details/70e1f8a821b72c8b,W,L,0,0,6,10,21,35,22,29,28,45,1,2,0,0,1,0,4,0,2,1,4,8,19,33,2,2,2,2,0,0,0,0,1,3,2,3,2,3.0,4.0,5.0,3.0,4.0,15.0,27.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
Marcin Tybura,75,249,78,1985-11-09 00:00:00,http://www.ufcstats.com/fighter-details/c9cf753cfdf77fc2,Augusto Sakai,76.0,265.0,77.0,1991-05-09 00:00:00,http://www.ufcstats.com/fighter-details/441eacbe20e0e80b,L,W,0,1,6,7,15,27,6,7,15,27,0,0,0,0,0,0,0,0,0,0,1,2,13,25,1,1,2,2,4,4,0,0,6,7,6,18,0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,2019-09-14,"Vancouver, British Columbia, Canada",15114
